,Unnamed: 0,Headline,Ranking,Review,ReviewDate,clean_text,lemmatized,sent_toke,money_related,delivery_service,return_service,products,customer_service,brand
10,7,Fint udvalg og hurtig levering,5,Fint udvalg og hurtig levering,2019-12-14,Fint udvalg og hurtig levering,fin udvalg og hurtig levering,fin udvalg og hurtig levering,0,1,0,1,1,0
11,8,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,god oplevelse at handle hos boozt.com .,0,0,0,0,0,1
12,8,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,vare komme i løb af dag .,0,0,0,1,0,0
13,8,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,ingen at klag over .,0,0,0,0,0,0
14,8,God oplevelse at handle hos Boozt.com,5,God oplevelse at handle hos Boozt.com. Varen kom i løbet af 2 dage. ☺Intet at klage over. Vil handle det igen.,2019-12-14,God oplevelse at handle hos Boozt.com. Varen kom i løbet af  dage. Intet at klage over. Vil handle det igen.,god oplevelse at handle hos Boozt.com . vare komme i løb af dag . ingen at klag over . ville handle det igen .,ville handle det igen .,0,0,0,0,0,0
15,9,"Altid stort udvalg, hurtig levering og nem retur",5,"Jeg elsker at handle hos jer og er vild med jeres hjemmeside, der er nem at navigere i.",2019-12-14,Jeg elsker at handle hos jer og er vild med jeres hjemmeside der er nem at navigere i.,jeg elske at handle hos I og være vild med jeres hjemmeside der være nem at naviger i .,jeg elske at handle hos i og være vild med jeres hjemmeside der være nem at naviger i .,0,0,0,0,0,1
16,10,Fin og perfekt service og levering,5,Fin og perfekt service og levering,2019-12-14,Fin og perfekt service og levering,fin og perfekt service og levering,fin og perfekt service og levering,0,1,0,0,1,0
17,11,Simpelthen fremragende,5,"Simpelthen fremragende! Jeg bestilte et par støvler, der på trods af travlhed var fremme 3 dage efter.",2019-12-14,Simpelthen fremragende Jeg bestilte et par støvler der på trods af travlhed var fremme  dage efter.,simpelthen fremragende jeg bestille en par støvle der på trods af travlhed være fremme dag efter .,simpelthen fremragende jeg bestille en par støvle der på trods af travlhed være fremme dag efter .,0,0,0,0,0,0
18,12,Super oplevelse som altid,5,Super oplevelse som altid. Jeg er fan.,2019-12-13,Super oplevelse som altid. Jeg er fan.,supe oplevelse som altid . jeg være fan .,supe oplevelse som altid .,0,0,0,0,0,1
19,12,Super oplevelse som altid,5,Super oplevelse som altid. Jeg er fan.,2019-12-13,Super oplevelse som altid. Jeg er fan.,supe oplevelse som altid . jeg være fan .,jeg være fan .,0,0,0,0,0,0
20,13,jeg er meget tilfreds,5,jeg er meget tilfreds,2019-12-13,jeg er meget tilfreds,jeg være meget tilfreds,jeg være meget tilfreds,0,0,0,0,0,0
21,14,Handler ikke på Bootz igen pga,1,Handler ikke på Bootz igen pga. dårlig kundeservice.,2019-12-13,Handler ikke på Bootz igen pga. dårlig kundeservice.,handler ikke på Bootz igen på_grund_af dårlig kundeservice .,handler ikke på bootz igen på_grund_af dårlig kundeservice .,0,0,0,0,1,0
22,15,Hurtig forsendelse alt er iorden,5,Hurtig forsendelse alt er iorden,2019-12-13,Hurtig forsendelse alt er iorden,hurtig forsendelse al være iorden,hurtig forsendelse al være iorden,0,1,0,0,0,0
