,Headline,Ranking,Review,ReviewDate
50,Kunder afvises af deres sikkerhedssystem,1,"Jeg har i mange år været yderst tilfreds med, at handle hos Boozt, men nu har jeg ikke andet positivt at kommentere på, end leveringen som altid er meget hurtig.
Jeg har nu 5 gange forsøgt, at gennemføre en ordre hos Boozt, og hver gang modtager jeg efterfølgende en mail om, at ordren er blevet annuleret af deres sikkerhedssystem. Har kontaktet kunderservice 2 gange telefonisk og en gang på skrift (som jeg endnu ikke har fået svar på), og hver gang får jeg den besked, at ingen hos Boozt kan forklare hvorfor kunder oplever det, når de vil ligge en ordre. Det eneste forslag de kan komme op med er, at man kan overveje at anskaffe sig et nyt betalingskort eller få en anden person til, at gennemføre ordren med deres kort. Jeg har ingen problemer med, at handle online andre steder med mit kort, og jeg er målløs over deres service!
De ved godt, at mange kunder oplever det, og at de mister kunder på den konto. Og jeg er så en af dem, for jeg kan ikke få lov til at handle hos Boozt mere! 
Tænk, at man i et firma har ""råd"" til, at miste så mange kunder; både økonomisk men også ift. deres omdømme?!",2020-01-14T17:27:42Z
51,Nemt hurtigt og billigt,4,Nemt hurtigt og billigt,2020-01-14T17:08:18Z
52,Smart og altid i orden.,5,"Smart og altid i orden.

Hans Johnsen",2020-01-14T17:04:36Z
53,Meget hurtig levering,5,Altid meget hurtig levering (1-2 dage efter bestilling) og nem returnering med pakkelabels.,2020-01-14T16:50:39Z
54,Yderst favorabel pris,5,Yderst favorabel pris - hurtig levering,2020-01-14T16:48:26Z
55,Nemt og hurtigt,5,Nemt og hurtigt,2020-01-14T16:18:50Z
56,Super oplevelse,5,Super oplevelse. Professionelt,2020-01-14T16:10:33Z
57,Altid fin og hurtig levering,5,Altid fin og hurtig levering,2020-01-14T16:09:04Z
58,God og hurtig levering,5,God og hurtig levering. Produkterne levede op til forventningerne,2020-01-14T16:04:13Z
59,Super nemt og hurtigt,5,Super nemt og hurtigt,2020-01-14T15:18:26Z
60,Super hjemmeside,5,"Super hjemmeside, nemt at bestille og hurtig levering.
Kan kun anbefale Boozt !!!!",2020-01-14T15:03:35Z
61,Hurtig levering,5,"Hurtig levering
Man er tryg ved at pakken kommer til tiden. 
God service
Venlige postbude",2020-01-14T14:56:14Z
62,Lige som det skal være!,5,Hurtig levering og godt indpakket,2020-01-14T14:52:20Z
63,God webside,4,"God webside, hurtig levering.
Foreslår I kunne oplyse længde på ærmer på jakker, skjorter, hvis det fremgår, vil jeg handle sådanne varer hos jer.",2020-01-14T14:37:34Z
64,Alt i alt ukompliceret:,5,"Alt i alt ukompliceret:
- hurtig levering.
- enkelt retursystem.
Boozt er bedst p.t.",2020-01-14T14:12:56Z
65,Som sædvanlig har alt fungeret til ug…,5,Som sædvanlig har alt fungeret til ug med kryds og slange,2020-01-14T13:29:07Z
66,Hurtig levering,5,Hurtig levering. Returlabel medsendt. Alt ok. God service.,2020-01-14T12:55:33Z
67,Altid hurtig og nemt at handle hos…,5,Altid hurtig og nemt at handle hos Boozt.com - service i top!,2020-01-14T12:03:56Z
68,Super nemt og hurtigt,5,Super nemt og hurtigt,2020-01-14T11:19:32Z
69,Rigtig godt,5,Rigtig godt og hurtig levering,2020-01-14T10:53:34Z
70,God oplevelse,5,"Hurtig forsendelse, pæne varer, og nemt at returnere med miljøvenlige returposer.",2020-01-14T10:33:03Z
71,Godt sted at handle og hurtig levering…,5,Godt sted at handle og hurtig levering 👍,2020-01-14T10:13:43Z
72,Altid hurtig levering og den bedst…,5,Altid hurtig levering og den bedst tænkelige service ved ombytning af varer,2020-01-14T09:45:14Z
73,Modtog kjole der tydeligvis havde været…,2,Modtog kjole der tydeligvis havde været hos en anden forinden. Lugtede meget af parfume..,2020-01-14T09:31:09Z
74,Fin hjemmeside og god levering,2,"Fin hjemmeside og god levering. 

Men jeg undrer mig over, at jeg skrev rabatkode på 10 % men dem fik jeg aldrig. 

To af varerne var alle nedsat, men jeg troede at jeg fik de 10 % i yderligere rabat. 

Derfor den lavere stjernepoint fra mig. 
Mvh 
Helle",2020-01-14T09:29:23Z
75,Altid hurtig service,5,Altid hurtig service,2020-01-14T09:21:21Z
76,Dyr forsendelse,1,"Det er for dårligt, at man skal betale 49 kr. i forsendelse. Skal du bytte en vare som er for lille, så koster det altså 100 kr i forsendelse!!!

Har netop handlet i forbindelse med udsalget, men det bliver for sidste gang. Der er andre alternativer med gratis forsendelse, fx Zalando",2020-01-14T09:11:15Z
77,Altid god service og hurtig levering.,5,Altid god service og hurtig levering.,2020-01-14T08:33:28Z
78,Hurtig levering og tilfredshed med…,5,Hurtig levering og tilfredshed med varen. Rigtig godt tilfreds.,2020-01-14T07:35:49Z
79,Aldrig problemer,5,Man kan altid regne med Boozt.com,2020-01-14T07:24:03Z
80,Altid hurtig levering,5,"Altid hurtig levering. Stort udvalg, gode priser og tilbud og gratis retur.",2020-01-14T06:42:07Z
81,Rask og god service,5,Rask og god service,2020-01-14T05:38:14Z
82,Dametøj,5,Alt er godt hver gang jeg bestiller noget,2020-01-13T22:58:53Z
83,Bare super god,5,Nem og overskuelig hjemmeside. Stort udvalg. Utrolig hurtig levering.,2020-01-13T21:55:15Z
84,God kundeservice og dejligt udvalg,5,God kundeservice og dejligt udvalg,2020-01-13T21:18:57Z
85,Nem hjemmeside,5,Nem hjemmeside. Bestillingen gik nemt og hurtigt. Varerne kom efter få dage og var korrekt. Super.,2020-01-13T20:02:32Z
86,Hurtigt og nemt,5,Hurtigt og nemt,2020-01-13T19:24:35Z
87,Altid super hurtig levering,5,Altid super hurtig levering - meget bredt udvalg og super service,2020-01-13T19:10:53Z
88,Gode priser og hurtig levering,5,Gode priser og hurtig levering,2020-01-13T18:56:19Z
89,👍👍👍,4,Fungerer okay,2020-01-13T18:48:58Z
90,Alt i top,5,"Bredt udvalg,  nem side at bruge og meget hurtig frugt. Kundeservice er ligeledes i top.",2020-01-13T18:44:18Z
91,Fremragende og super let!,5,"Fremragende! Hurtigt, nemt og tidsbesparende!",2020-01-13T18:36:52Z
92,hurtig levering fine varer,5,hurtig levering fine varer,2020-01-13T17:49:30Z
93,Super,5,"Super udvalg, pris og levering",2020-01-13T17:40:44Z
94,Rask levering og fine varer,5,Rask levering og fine varer,2020-01-13T16:47:45Z
95,Altid god og hurtig behandling af ens…,5,Altid god og hurtig behandling af ens ordre 👍,2020-01-13T16:46:37Z
96,Handlen gk som smurt.,5,Handlen gk som smurt.. Oplevede ingen problemer.,2020-01-13T16:14:14Z
97,"Altid hurtig levering,aldrig noget at…",5,"Altid hurtig levering,aldrig noget at klage over,så super.",2020-01-13T16:12:26Z
98,Super kvalitet,5,"Super kvalitet
Bredt udvalg af mærker 
Hurtig levering 
Let returnering hvis man skulle få brug for det",2020-01-13T15:49:42Z
99,Hurtig lev,5,Hurtig lev. og fin service,2020-01-13T15:11:48Z
100,"Ingen kundeservice, som i slet ingen.",1,"Jeg har forgæves prøvet at kontakte Boozt kundeservice i 6 dage via telefon, samt kontaktformularen på både den danske .dk og den internationale .com hjemmeside. Jeg har også fået kvittering herpå, hvori der står at der maksimum vil gå 48 timer for svar af enhver henvendelse.

Jeg har henvendt mig fordi jeg har købt et par støvler, som havde en fejl med sålen i den ene tåspids, hvor jeg havde behov for at vide om jeg kunne sende dem ind og bestille et par ny tilsvarende, og stadig få dem til kampagneprisen som jeg havde købt dem på oprindeligt. Eftersom jeg ikke har hørt noget har jeg til sidst valgt at prøve at gå dem til, hvilket ikke har været en succes.

Kunne jeg give 0 stjerne havde jeg gjort dette, da det svare til den ikke eksisterende kundeservice, men da dette ikke er muligt får de hele 1 stjerne.",2020-01-13T14:47:52Z
101,Den bedste webshop,5,Den bedste webshop,2020-01-13T14:29:25Z
102,Boozt er mit absolutte favorit sted på…,5,"Boozt er mit absolutte favorit sted på nettet at handle. Der er et stort udvalg til alle i familien, de bedste priser og super let, når man har en travl hverdag. Jeg elsker deres lette måde, at returnere varer på.",2020-01-13T14:27:43Z
103,edgd,5,konstant form,2020-01-13T13:16:00Z
104,hurtigt og nemt,5,hurtigt og nemt,2020-01-13T12:39:49Z
105,Altid super hurtig -- fungerer altid,4,"Altid super hurtig -- bestilt på torsdag aften -- i min Shell pick up på frokost på lørdag.

Priser lidt i det høje ende :) men ellers god sortimang",2020-01-13T11:48:52Z
106,Langsom levering,1,Langsom levering. Fejl på produktet og udsolgt ved efterspørgsel af nyt produkt i samme størrelse.,2020-01-13T11:28:30Z
107,Hurtig levering,5,"Hurtig levering, gode vare og nem og hurtig service 👍",2020-01-13T11:24:15Z
108,Det står to dages forsendelse på…,4,"Det står to dages forsendelse på hjemmesiden, den tid blev ikke overholdt. Men ellers intet at klage over 😀👍",2020-01-13T10:34:37Z
109,hurtigt og uden problemer,5,hurtigt og uden problemer,2020-01-13T09:47:55Z
110,Hurtig levering varen lever helt op til…,5,"Hurtig levering varen lever helt op til forventningerne rart sted at handle og nemt
Kan kun anbefales",2020-01-13T08:18:53Z
111,Hurtigt levering og billig kvalitets…,5,Hurtigt levering og billig kvalitets vare,2020-01-13T08:15:33Z
112,Proff,4,Hurtigt og proffesionelt,2020-01-13T08:13:07Z
113,Hurtig ekspediton,5,"Hurtig ekspediton, fejlfri levering",2020-01-13T07:58:48Z
114,Fremragende service,5,Fremragende service - og hurtig levering,2020-01-13T07:58:11Z
115,Hurtigt og nemt,5,Hurtigt og nemt - både bestilling og levering. Fik det jeg havde forventet :-),2020-01-13T07:31:28Z
116,Stabil og hurtig service,5,Stabil og hurtig service,2020-01-13T07:16:45Z
117,Købte en blazer i min str,3,"Købte en blazer i min str. som IKKE skule være slim, men det er den. Kunne ikke vente på at bytte  så måtte bruge den, trods jeg ikke kunne knappe den
3 stjerner pga jeres hurtige levering",2020-01-13T07:15:28Z
118,god service,5,god service - hurtig levering,2020-01-13T06:58:31Z
119,Har kun haft gode oplevelser med Boozt…,5,"Har kun haft gode oplevelser med Boozt - hurtig levering, god service og Budbee fungerer bare😊",2020-01-13T06:39:05Z
