,Headline,Ranking,Review,ReviewDate
784,hurtig levering.produt levede op til…,5,hurtig levering.produt levede op til forventninger,2019-12-24T12:31:37Z
785,God service,5,Rigtig hurtig levering/ god service,2019-12-24T09:52:01Z
786,På Boozt er der altid hurtig betjening…,5,"På Boozt er der altid hurtig betjening og god service. Deres hjemmeside er nem at finde rundt på, og de har et bredt udvalg, så alle indkøb kan foretages et sted.",2019-12-24T08:40:20Z
787,Hurtig levering og super service 👍,5,Hurtig levering og super service 👍,2019-12-24T08:25:06Z
788,Supergod telefonbetjening,5,Supergod telefonbetjening - meget nemt at handle hos Bootz. Super godt udvalg i mærker.,2019-12-24T08:07:51Z
789,Altid hurtig og fin ekspedition,5,Altid hurtig og fin ekspedition,2019-12-24T07:22:29Z
790,Sælger returvarer,1,"Købte for 11 måneder siden en Hugo Boss blazer på Boozt. Havde på det tidspunkt allerede mistro til at der var tale om returvarer, grundet det der lignede slidtage omkring albuen, men jeg valgte at tro det var en del af mønsteret.
Desværre er fejlen blevet værre og for et par uger siden opstod der et regulært hul.
Boozt nægter at tage imod reklamationen.

1: BOOZT SÆLGER RETURVARER
2: BOOZT ønsker ikke engang at udbedre fejlen. (“ Vi reparerer ikke på varer, så derfor kan vi ikke tilbyde det.”)

Hav ovenstående i tankerne næste gang i overvejer at handle hos Boozt.
Deres after sales er under al kritik.",2019-12-24T07:08:53Z
791,Hurtig levering,4,Hurtig levering,2019-12-24T05:27:25Z
792,Rask levering fra bestilling til mottak…,5,Rask levering fra bestilling til mottak så nær jul.,2019-12-24T01:33:32Z
793,BEDSTE online shopping side uden tvivl .,5,BEDSTE online shopping side uden tvivl .,2019-12-23T23:07:09Z
794,Fint,4,Betaling og fragt var der intet at klage over. Et billede på en vare var lidt misvisende,2019-12-23T22:06:29Z
795,Altid god service og hurtig betjening .,5,Altid god service og hurtig betjening .,2019-12-23T21:52:26Z
796,Lynhurtig levering 😀,5,Lynhurtig levering 😀,2019-12-23T21:50:53Z
797,Bedste sted at handle,5,Bedste sted at handle. Kæmpe udvalg og super hurtig levering.,2019-12-23T21:42:28Z
798,Lækkert tøj,5,"Lækkert tøj, hurtig levering, god pris",2019-12-23T21:26:09Z
799,hurtig levering,5,Hurtig levering og varerne altid korrekt,2019-12-23T21:13:34Z
800,Er egentlig super tilfreds men...,4,"Er egentlig super tilfreds men to vigtige ting mangler. 

Jeg fik i min sidste ordre ingen bekræftelse og en mail om at min ordre stadig lå i kurven. Blev ret forvirret og da det var en gave skyndte jeg mig ind og bestille. Det skulle vise sig at være igen og nu havde jeg den samme vare på vej to gange. Da jeg henvendte mig til kundeservice fik jeg at vide at man ikke kunne annullere en ordre. Mega frustrerende at have de samme penge ude to gange plus at skulle returnere og vente på penge. Jeg fil at vide at ordren var behandlet, men først senere fik jeg en mail om at den var behandlet. Jeg modtager stadig mail at varen ligger i kurven, selvom den er købt to gange 🙄

En anden vigtig ting jeg synes I mangler er, prøv først betal senere. Tænker I kunne spare mange transaktioner på den konto og til tider er det derfor jeg vælger konkurrenten. 

Men altså ☺️ Er derudover en meget tilfreds kunde og rater som regel 10 til at anbefale jer.",2019-12-23T21:10:40Z
801,slut med boozt.,1,"Har altid godt kunne lide boozt, men det stopper da nu, køber min kones julegave som skal leveres via budbee, 2 dage før seneste frist inden jul. Da jeg om morgenen den 23 ikke har fået min pakke ringer jeg til boozt og taler med en pige som lettere irriteret siger, hun vil sende en besked til økonomi afdelingen som vil se på det næste uge sammen med alle de andre, der ikke får deres pakker inden jul. Senere den dag får jeg så alligevel sms fra budbee om at chaufføren nu har pakket min pakke i hans bil og levere den, den 23 mellem kl.17:00 og 22:00. Kl.21:22 får jeg en annullering af ordren af budbee, da de har haft for travlt, næste levering siger deres kundeservice tidligst er 26 dec, hvor han mener de vist nok kører igen.",2019-12-23T21:03:33Z
802,Altid god og hurtig service,5,Altid god og hurtig service,2019-12-23T21:03:30Z
803,Meget hurtigt og nemt at bestille,5,Meget hurtigt og nemt at bestille på hjemmesiden. Mine varer kom efter 4 dage,2019-12-23T20:42:47Z
804,Hurtig levering og bare godt sted at…,5,Hurtig levering og bare godt sted at handle,2019-12-23T20:33:49Z
805,Fremragende,5,"Fremragende, jeg vil anbefale virksomheden til andre.",2019-12-23T20:28:06Z
806,Hurtig og nemt.,5,Hurtig og nemt.,2019-12-23T20:13:05Z
807,Gode tilbud,5,"Gode tilbud, mega hurtig levering.",2019-12-23T19:44:46Z
808,Levering til tiden,5,Levering til tiden - som altid..,2019-12-23T19:40:04Z
809,Altid hurtig levering og kæmpe udvalg…,5,Altid hurtig levering og kæmpe udvalg 🙏🏻👌,2019-12-23T19:28:45Z
810,Så kvikt og så lige op til jul,5,Så kvikt og så lige op til jul. Og godt tilbud må jeg sige,2019-12-23T18:59:57Z
811,Super hurtig levering og vare passede…,5,Super hurtig levering og vare passede med det jeg havde bestilt,2019-12-23T18:59:52Z
812,Super handel.,5,"Jeg er meget tilfreds med mit køb. Nem handel og fin tilbagemelding, glad og fro. Tak. 🎄🎄",2019-12-23T18:56:15Z
813,Altid lynhurtig levering,5,"Altid lynhurtig levering, gode rabatter og stort udvalg!",2019-12-23T18:53:26Z
814,Dårlig størrelsesguide,3,"Har handlet der for første gang.
Dårlig størrelsesguide til herre bukser. Der var tre forskellige kategorier, men ingen steder står der, hvilken kategori de bukser, jeg har valgt hører ind under. 
Jf. livvidden – gav det tre forskellige størrelser
•	Jakkesæt, blazers og bukser, så skal jeg bestille  S
•	Størrelser med ekstra længde vil jeg skulle bestille M
•	Størrelser med kort længde siger at jeg bør vælge XS

Jeg skriver til kundeservice og få følgende svar:
Jeg har undersøgt og forhørt mig omkring dit spørgsmål, og må desværre melde pas, kan godt se at det er lidt svært at finde rundt i med de størrelser. …. Godt så!  
– Men der var hurtig levering og mange fine varer at vælge imellem :-)",2019-12-23T18:38:26Z
815,2 gange fejllevering,1,"Jeg bestilte en Mads Nørgaard hættetrøje med lynlås. Fik en leveret uden lynlås. Jeg returnerede den efter aftale med jeres kundeservice, og måtte bestille og betale en ny. Den modtog jeg dagen efter, fredag d. 20 dec. Men igen forkert levering. Nu er den også returneret. Jeg har 900 kr. ude og svømme og måtte i Magasin efter den rigtige trøje. Glæder mig til at få mine penge tilbage. For det er da ret surt at skulle købe den samme gave 3 gange.",2019-12-23T18:30:33Z
816,hurtig levering,5,hurtig levering,2019-12-23T18:24:17Z
817,Altid en fornøjelse,5,"Altid en fornøjelse, det super hurtig og rigtig levering! Altid i top!!",2019-12-23T18:15:58Z
818,Super service ved boozt.com,5,Det har været fantastisk at handle hos boozt.com det første jeg bestilte var for stort og der kunne jeg sende retur med pose og labels som var klar og jeg bestilt så igen og 2 dage efter var det klar til afhentning - super service kan ikke blive bedre 😊,2019-12-23T17:46:49Z
819,Fin og hurtig service,5,Fin og hurtig service,2019-12-23T17:33:43Z
820,Alt forløb perfekt,5,"Alt forløb perfekt, meget hurtig levering selv om der er juletravlt.",2019-12-23T17:27:37Z
821,Fine varer ovnen og hurtig ekspedition…,5,Fine varer ovnen og hurtig ekspedition :-),2019-12-23T17:22:43Z
822,Altid behjælpelig og god service,5,Altid behjælpelig og god service. Hurtig levering👍,2019-12-23T17:09:39Z
823,Godt udvalg,5,Godt udvalg. Gode priser og lynhurtig levering 👍,2019-12-23T17:07:52Z
824,Altid hurtig og nemt at handle.,5,Altid hurtig og nemt at handle.,2019-12-23T17:05:44Z
825,Super nemt og effektivt,5,"Hurtig levering - ingen problemer med tilbagelevering, hvis str. Ikke passer. Super nemt",2019-12-23T16:54:28Z
826,Boozt er blandt de allerbedste,5,"Boozt er en af mine absolutte favoritter blandt netbutikker. Jeg bliver gang på gang overrasket over, hvor hurtigt en vare kan afhentes i den lokale pakkeshop efter bestilling - og jeg har flere gange prøvet, at det er sket inden for 24 timer. Fantastisk. :)",2019-12-23T16:41:24Z
827,Super hurtig og,5,"Super hurtig og
Go service ...👍👍👍",2019-12-23T16:33:23Z
828,Nem nethandel med hurtig levering og…,5,Nem nethandel med hurtig levering og let returnering,2019-12-23T15:32:33Z
829,Fremragende,5,Hurtig ekspedition og god kundeservice,2019-12-23T15:29:48Z
830,Stort udvalg,5,"Stort udvalg, nemt og enkelt at bestille, varen kom inden for 3 dg. Super.",2019-12-23T15:27:55Z
831,Ingen julegaver takket være Boozt,1,"Boozt reklamerer med levering inden juleaften, men dette er åbenbart ikke noget de overholder. Står nu og mangler julegaver til min familie. Kundeservice reaktion er ligegyldighed men dog en lovning om at vende tilbage indenfor 3-4 dage, hvilket er dybt utilfredsstillende, nærmest provokerende, når de lover levering inden juleaften.",2019-12-23T14:13:34Z
832,Kan anbefale at handle her.,5,Varerne er som forventet. Vil fremad fortsætte med at handle her.,2019-12-23T14:01:25Z
833,skuffende...,1,Jeg afgav min ordre d 15/12 og har endnu ikke modtaget pakken... jeg har ikke engang modtaget en beskeder de ikke kan overholde leveringen! Så nu står jeg her uden julegave til min kæreste!!!,2019-12-23T13:43:58Z
834,Altid en god oplevelse at handle hos…,5,"Altid en god oplevelse at handle hos Boozt.com. 
Lette at få fatte i, og de retter hurtig en fejl, når dette skulle opstår.",2019-12-23T13:06:12Z
835,God oplevelse at handle på Boozt,5,"God oplevelse at handle på Boozt, hurtig levering, kan anbefales.",2019-12-23T13:05:03Z
836,Hurtige,5,Super hurtig levering og produkter der lever op til det man forventede 👍,2019-12-23T12:56:54Z
837,Overskueligt,5,"Overskueligt, nemt og hurtigt  Altid de rigtige varer der bliver leveret og levering højst to dage efter bestilling. Fuldt ud tilfreds.",2019-12-23T12:45:09Z
838,Altid nemt og hurtigt,4,Altid nemt og hurtigt. Bestillingen kommer hurtigt,2019-12-23T12:42:08Z
839,Hurtig levering,5,Hurtig levering,2019-12-23T12:40:49Z
840,Super hurtig levering 👍,5,Super hurtig levering 👍😁,2019-12-23T12:35:21Z
841,Super hurtig levering og nemt at…,5,"Super hurtig levering og nemt at returnere, hvis nødvendigt",2019-12-23T12:24:46Z
842,God og hurtig service,5,God og hurtig service - god hjemmeside,2019-12-23T11:53:47Z
843,Når Boozt siger at pakken når frem…,5,Når Boozt siger at pakken når frem inden jul så når den frem!! Imponerede!!,2019-12-23T11:15:06Z
844,Nem og overskuelig hjemmeside,5,Nem og overskuelig hjemmeside - hurtig levering 👍🏼,2019-12-23T11:00:46Z
845,Stort sortiment til gode priser,5,"Stort sortiment til gode priser, både til børnene og mig selv.",2019-12-23T10:17:48Z
846,Fremragende service,5,"Fremragende service! 

Jeg bestilte julegaver lørdag den 14/12 hos Boozt. Allerede om mandagen kunne jeg hente min pakke i pakkeshoppen. Ved bestilling var der fejl med dankortbetaling og jeg skrev derfor til kundeservice om min betaling nu også var gået igennem. Det var lørdag eftermiddag, jeg regnede ikke med at få svar. Men indenfor 20 minutter fik jeg en mail fra en sød medarbejder om at alt var fint. Med min ordrebekræftelse kom der også et link til en pdf med byttebevis som jeg kunne downloade. 
Jeg har kun anvendt Bootz for at bestille gaver denne ene gang, men jeg er meget positivt overrasket over hvor nemt og hurtigt det var. Så jeg vender helt sikkert tilbage som kunde!",2019-12-23T09:59:39Z
847,Alt var godt,5,Alt var gået godt fra bestilling til levering,2019-12-23T09:54:56Z
848,Fin og hurtig service både med hensyn…,5,Fin og hurtig service både med hensyn til levering af varer og tilbagebetaling af penge,2019-12-23T09:49:26Z
849,Hurtigt levering og altid i orden..,5,Hurtigt levering og altid i orden..,2019-12-23T09:42:44Z
850,Nemt og hurtig levering.,5,Nemt og hurtig levering.,2019-12-23T09:26:48Z
851,Nemt og hurtigt,4,"Det er nemt at bestille og varene kom hurtigt. Umiddelbart er jeg fint tilfreds med de vare jeg har fået. 
De reklamere stort med at de har gratis levering, med småt at det er ved køb over 499,-
Jeg kommer formentlig kun til at handle der igen, såfremt der er et rigtig godt tilbud, da der er gratis forsendelse så mange andre steder.",2019-12-23T09:17:04Z
852,Hej boozt,5,"Hej boozt. Jeg er så tilfreds, billederne lyver aldrig og pakkerne kommer til tiden👍🏻🤗🤗",2019-12-23T09:06:42Z
853,Altid mega hurtig levering.,5,Altid mega hurtig levering.,2019-12-23T09:02:35Z
854,Hurtigt nemt og god service meget…,5,Hurtigt nemt og god service meget tilfreds,2019-12-23T08:33:44Z
855,Leveret til tiden,5,"Leveret til tiden, ganske som lovet  :-)",2019-12-23T08:12:30Z
856,Hurtig ekspedition,5,Hurtig ekspedition,2019-12-23T08:07:03Z
857,Hurtig og effektiv levering.,5,Hurtig og effektiv levering.,2019-12-23T08:04:51Z
858,fin og  hurtig levering,5,fin og  hurtig levering,2019-12-23T07:52:04Z
859,Hurtig service,5,"Hurtig service, alt var perfekt igen",2019-12-23T07:50:11Z
860,Hurtig levering og behandling af…,5,"Hurtig levering og behandling af reklamationer. Rigtig god service. 

Jeg har kun haft en positiv oplevelse.",2019-12-23T07:49:12Z
861,Meget tilfreds med at handle hos jer.,5,Meget tilfreds med at handle hos jer.,2019-12-23T07:27:27Z
862,5 stjerner for hurtighed og brugervenlighed,5,Er altid tilfreds når jeg handler her. Og simpelthen så hurtige til at levere🙏👌🏻,2019-12-23T07:19:20Z
863,Hurtig levering,5,Fin service og hurtig levering,2019-12-23T06:57:28Z
864,Super effektivb,5,Super effektivb,2019-12-23T06:22:27Z
865,Hurtig og nem,5,Hurtig og nem. God service,2019-12-23T06:04:03Z
866,Det går virkelig hurtigt med at modtage…,5,Det går virkelig hurtigt med at modtage og returnerer pakker på BOOZT,2019-12-23T06:01:15Z
867,Alt gik planmæssigt,5,"Alt gik planmæssigt, så Boozt.com kan anbefales.",2019-12-23T06:00:50Z
868,Har købt julegave,1,"Har købt julegave, som blev leveret hurtigt- og jeg var glad! Indtil jeg lige vil tjekke varen, og jeg hverken har fået den størrelse eller farve fodtøj jeg har bestilt. (Og på følgesedlen står der den størrelse og farve jeg bestilte, så det er ikke en fejl ved selve bestillingen) øv øv",2019-12-23T05:22:56Z
869,Overskuelighed,5,Det er Let nemt og overskueligt at navigere rundt på  Boots👍🏼,2019-12-23T05:10:38Z
870,Super service og hurtig levering,5,Super service og hurtig levering,2019-12-23T05:01:44Z
871,God og hurtig handel,5,God og hurtig handel,2019-12-23T03:51:12Z
872,Har ikke fået min pakke da den er…,1,Har ikke fået min pakke da den er kommet til stedet hvor GLS har afleveret pakken men han har ikke pakken...og det er en julegave 🎅😤,2019-12-23T00:05:28Z
873,super,5,Super hurtig levering kan kun anbefales,2019-12-22T22:05:04Z
874,Perfekt,5,"Købte frakke, dog forkert størrelse. Retur og pengene på konto efter en dag. Meget nemt og hurtigt.",2019-12-22T21:55:58Z
875,God app,5,"God app, nemt hurtigt og flot returnerings service",2019-12-22T21:17:25Z
876,Altid hurtig og sikker levering fra…,5,Altid hurtig og sikker levering fra Boozt.,2019-12-22T20:51:56Z
877,Hurtig levering trods den travle…,5,Hurtig levering trods den travle juletid. Jeg bestilte søndag og hentede min ordre i pakkeshop tirsdag.  Derudover var der en god pris på mit bestilte produkt og jeg satte pris på også at modtage et gavekort efterfølgende til Oslobåden.,2019-12-22T20:50:31Z
878,Hurtig og effektiv,4,Hurtig og effektiv . God kvalitet.,2019-12-22T20:40:45Z
879,Alt er godt!,5,Super hurtig levering og varen levede op til forventningerne! Jeg køber gerne hos Boozt igen og sender mine anbefalinger videre til andre.,2019-12-22T20:40:19Z
880,Hurtig levering,5,Hurtig levering,2019-12-22T20:10:57Z
881,Hurtigt levering,4,"Hurtigt levering, nemt at finde varer",2019-12-22T20:03:32Z
882,nem bestilling,4,"nem bestilling
hurtig levering",2019-12-22T19:50:10Z
883,Beskrivelsen af den skjorte jeg købte…,1,Beskrivelsen af den skjorte jeg købte var totalt mangelfuld og slet ikke det produkt jeg havde regnet med,2019-12-22T19:36:56Z
884,Rask og effektiv levering 👍,4,Rask og effektiv levering 👍,2019-12-22T19:18:02Z
885,Stort udvalg,5,"Stort udvalg , altid hurtig levering . Har handlet her adskillige gange uden problemer - top tilfreds",2019-12-22T19:08:05Z
886,Dejlig hurtig levering,5,Dejlig hurtig levering,2019-12-22T19:04:45Z
887,Fine sko og rigtig størrelse,5,Fine sko og rigtig størrelse. Hurtig forsendelse.,2019-12-22T18:58:58Z
888,Super god oplevelse som altid,5,Super god oplevelse som altid,2019-12-22T18:42:25Z
889,Super hurtig levering.,5,Super hurtig levering.,2019-12-22T18:37:44Z
890,Sikkert nemt og hurtig levering.,5,Sikkert nemt og hurtig levering.,2019-12-22T18:31:33Z
891,18 timer fra bestilling til de modtager min ordre...,1,"Jeg bestiller en vare om aftenen og kl. 7 om  morgenen får jeg en e-mail fra pakkeleverandøren... De sender mig en oversigt hvor jeg blandt andet kan se at Boozt.com har modtaget min bestilling. 
12 timer senere får jeg så en mail fra Boozt.com hvori der står at de nu har modtaget min bestilling...

JEG HAR STADIG INTET HØRT...  (23/12 kl. 21:00)

Konklusion: 
ingen julegaver til familien fra mig i år ☹️

Jeg har lige fået at vide (26/12) at min pakke ankommer på et tidspunkt i dag, kun to dage efter juleaften. Blev garanteret levering inden juleaften... Skal også lige siges at jeg ikke er hjemme i dag, så det bliver spændende at se hvad der nu skal ske. De er sikkert ligeglade, de har jo modtaget pengene.

De har stadig ikke svaret på mine mails, dog har de spammet mig med flere mails der lover levering inden nytårsaften. Jeg griner stadig, selvom jeg tvivler på at de har spammet mig som en joke... Tro ikke på det, I får ikke leveret inden nytårsaften. Boozt.com er ikke til at stole på!",2019-12-22T18:04:08Z
892,Fantastisk service,5,"Fantastisk service. Nemt, hurtigt og søde kundermedarbejder. Jeg giver gerne min anbefaling",2019-12-22T18:02:33Z
893,Super,5,Supergod og hurtig,2019-12-22T17:58:55Z
894,Fine varer til gode priser,5,"Fine varer, nemt og bekvemt at bestille, lynhurtig levering og nem returnering.",2019-12-22T17:53:15Z
895,Hurtig levering og hurtig…,5,Hurtig levering og hurtig returnering/refundering.,2019-12-22T17:29:38Z
896,Bestillingen kommer hurtigt,5,"Bestillingen kommer hurtigt. Hvis varen viser sig ikke at leve op til forventningerne, er det uproblematisk at tilbagelevere til Boozt.",2019-12-22T17:01:20Z
897,Lækre stilletter,5,Lækre stilletter. Igen hurtig levering👍,2019-12-22T16:54:43Z
898,Den første pakke jeg modtog,5,"Den første pakke jeg modtog, var der desværre ingen ting i, den ting jeg havde bestilt var fjernet fra posen. Øv! Stor var min skuffelse. Ringede til kundeservice og talte med Amanda, som var utrolig forstående og gav mig råd og vejledning. Har nu sendt billeder og modtaget ny pakke ( denne gang med indhold) og afventer næste meddeles fra Boozt.com. 
Tak for fin service/ kan fint anbefales 😊",2019-12-22T16:05:41Z
899,De skønneste støvler blev hurtigt…,5,De skønneste støvler blev hurtigt leveret. Jeg vil bestemt gerne handle hos jer igen,2019-12-22T15:39:06Z
900,Super hurtig forsendelse,5,Super hurtig forsendelse - kæmpe plus,2019-12-22T15:25:55Z
901,Varerne var meget hurtig fremme.,5,"Varerne var meget hurtig fremme og i god stand, jeg vender i hvert fald tilbage og handler der igen.",2019-12-22T15:12:33Z
902,Mega hurtig,5,Jeg bestilte lørdag den 14.12. Og kunne hente mine varer mandag den 16.12. Det var godt nok super super hurtigt. Varen var i perfekt stand. 👏👏👏. Tusind tak til Boozt.com,2019-12-22T14:35:16Z
903,Stort og flot udvalg,5,"Stort og flot udvalg, hurtig levering. Har aldrig oplevet nogen form for problemer 😊",2019-12-22T13:56:50Z
904,Nemt og hurtigt,4,Nemt og hurtigt,2019-12-22T13:27:09Z
905,Love it!,5,Rigtig godt!!!,2019-12-22T11:59:33Z
906,Anmeld,5,"Super kvalitet, og hurtig levering",2019-12-22T11:49:48Z
907,Blandet følelse,2,"Jeg har handlet to gange hos boozt, og det er en super blandet følelse nu:

-Første gang var super god, jeg bestilte en fin jakke, som dukkede op få dage efter og jeg har ikke meget at kritisere på den ordre.

-Anden gang var mere kaotisk og utilfredsstillende. Jeg bestilte et par læderstøvler til +1000kr, som var på tilbud ved ""black-weekend"". Jeg får en bekræftelse på min ordre, men der går næsten en hel uge før, at jeg får en besked om, at de pludselig ikke har skoene i den størrelse jeg bestilte. Fair nok, tænker jeg, de får refunderet beløbet, og jeg står med mine penge igen. Det der så sker er, at de kort efter har dem på lager i min størrelse til væsentligt flere penge, end hvad jeg først skulle betale, så nu er jeg lettere arrig over, at man tillader sig ikke at informere mig om, at der kommer flere på lager, og at leveringstiden ville blive udsat lidt. I stedet kan jeg betale endnu flere penge for det par sko, som jeg i første omgang gerne ville have haft. Det sker så IKKE.",2019-12-22T11:19:26Z
908,Nem og hurtig,4,Hurtig levering og alt lever op til forventningerne,2019-12-22T10:10:52Z
909,Super sted at handle,5,"Super sted at handle. Man får varerne hurtig
Mvh Sanne",2019-12-22T10:04:00Z
910,God oplevelse,5,"God oplevelse, hurtig levering",2019-12-22T09:51:29Z
911,Bestilte en vare 2 dage senere havde…,5,Bestilte en vare 2 dage senere havde jeg min pakke,2019-12-22T09:50:18Z
912,Hurtig levering samt hurtig modtagelse…,5,Hurtig levering samt hurtig modtagelse af pengene for det jeg returnerede 👌🏻,2019-12-22T09:46:43Z
913,perfekt,5,perfekt levering,2019-12-22T09:18:31Z
914,Super nemt og hurtigt👌🏻,5,Super nemt og hurtigt👌🏻,2019-12-22T09:14:29Z
915,Meget dårlig service har De!!,1,"Meget dårlig service har De!!!  De svarer ikke for 48 timer! Har sendt den defekte vare for længe siden tilbage, men ingen svarer og ingen overfører penge tilbage! Meget dårlig service!",2019-12-22T09:07:39Z
916,Tilfreds med handlen......,5,"Hurtig levering af det bestilte samt tryghed i købsprocessen, såfremt noget skulle returneres, hvilket dog ikke var tilfældet, da alt var som beskrevet.
Vender glad og gerne tilbage en anden gang.",2019-12-22T08:25:57Z
917,Alt fungerede perfekt,5,Alt fungerede perfekt,2019-12-22T07:58:50Z
918,Hurtig og effektiv,5,Hurtig og effektiv,2019-12-22T07:27:57Z
919,Altid en fornøjelse,5,Altid en fornøjelse - varerne pakket pænt ind og lynhurtig levering,2019-12-22T06:43:10Z
920,Altid dejligt obnemt at handle hos…,5,Altid dejligt obnemt at handle hos Boozt og hurtig levering.,2019-12-22T04:54:23Z
921,Super hurtig levering,5,Bestilte en jakke lørdag ved omkring 14 tiden og kunne allerede hente jakken mandag formiddag. Fin og overskuelig hjemmeside. Meget tilfreds med hele forløbet.,2019-12-21T22:45:41Z
922,dejlig hjemmeside super hurtig levering…,5,dejlig hjemmeside super hurtig levering alt i top,2019-12-21T21:13:18Z
923,God service og hurtig levering,4,God service og hurtig levering,2019-12-21T21:11:49Z
924,Imponerende,5,Imponerende - bestilte lørdag og modtog varerne mandag morgen👍🏼,2019-12-21T19:58:53Z
925,Hurtig levering og god app,5,Hurtig levering og god app,2019-12-21T19:53:48Z
926,God oplevelse,5,God oplevelse,2019-12-21T19:53:03Z
927,Perfekt,5,"Perfekt, handler her igen",2019-12-21T19:07:58Z
928,Varen som lovet og kort leveringstid,5,"Varen som lovet og kort leveringstid , det duer !",2019-12-21T18:59:06Z
929,Jeg giver 5 stjerner for hurtig…,5,Jeg giver 5 stjerner for hurtig ekspedition,2019-12-21T18:28:11Z
930,Fantastisk hjemmeside!,5,Det er nemt at bestille og utrolig hurtig levering samt let at returnere. Fantastisk service!,2019-12-21T18:21:20Z
931,Som altid lynhurtig levering & gode…,5,Som altid lynhurtig levering & gode priser :-) Tak for det,2019-12-21T18:19:02Z
932,God vare og hurtigt levring,5,God vare og hurtigt levring,2019-12-21T17:11:31Z
933,Hurtig levering og nemt at returnere…,5,Hurtig levering og nemt at returnere overskydende vare samt et super godt måleskema,2019-12-21T16:40:46Z
934,Perfekt 👍,5,Perfekt 👍 det gælder både vare og forsendelse,2019-12-21T16:23:31Z
935,Super hurtig levering,5,Nemt at bestille og hurtig tilbagebetaling ved retur.,2019-12-21T16:22:33Z
936,Hurtig ekspedition,5,"Hurtig ekspedition, alt OK",2019-12-21T15:59:51Z
937,Fremragende og problemfri handel.,5,Fremragende og problemfri handel.,2019-12-21T15:53:54Z
938,God og hurtig betjening,5,"God og hurtig betjening, vare ok",2019-12-21T15:35:50Z
939,super tilfreds!,5,super tilfreds også med den nye form for levering.,2019-12-21T14:52:48Z
940,Har aldrig haft problem med de 👍👍,5,Har aldrig haft problem med de 👍👍,2019-12-21T14:20:47Z
941,Super godt tilfreds 🌟🌟🌟🌟🌟,5,Super godt tilfreds 🌟🌟🌟🌟🌟,2019-12-21T12:44:12Z
942,Altid hurtig levering!,5,Altid hurtig levering!,2019-12-21T12:43:19Z
943,Kun gode oplevelser,5,"Kun gode oplevelser, super hurtig levering!",2019-12-21T12:24:45Z
944,Hurtigt og præcist.,5,Hurtigt og præcist.,2019-12-21T11:29:50Z
945,Som altid hurtigt rigtigt og let retur.,5,Som altid hurtigt rigtigt og let retur.,2019-12-21T07:20:12Z
946,Hurtig levering,5,Hurtig levering,2019-12-21T07:17:23Z
947,God oplevelse hurtig levering god…,5,God oplevelse hurtig levering god service,2019-12-21T06:17:49Z
948,Alt fint,4,Alt fint inkl. bestilling og levering,2019-12-21T06:00:38Z
949,Det kører bare,5,Det kører bare - som altid. Også i december måned.,2019-12-21T06:00:24Z
950,Vanvittigt hurtig levering.,4,Vanvittigt hurtig levering.,2019-12-21T05:53:30Z
951,Rigtig god service👍,4,"Fire stjerner fordi min pakke ikke dukkede op, men super god service og mulighed for at købe varerne igen til samme pris (tilbud som ellers var udløbet) 
Fem stjerne næste gang er jeg sikker på!",2019-12-21T05:38:36Z
952,Billigste pris og hurtig levering,5,Billigste pris på frakke på Boozt og super hurtig levering.,2019-12-21T03:00:21Z
953,Tip top,5,"God og hurtig information om bestillingen af varen. 
Hurtig levering.",2019-12-20T22:57:33Z
954,Meget hurtigt levering og alt så nemt…,5,Meget hurtigt levering og alt så nemt og enkelt,2019-12-20T22:05:15Z
955,Hurtig levring🤗.,5,"Hurtig levring🤗.
Kunne godt tænke mig, at I havde en kundebeskrivelse omkring pasform/str. under al beklædning, så man blev mere sikker i valg af størrelser, og dermed mindske evt returvarer. God jul🎄",2019-12-20T22:03:16Z
956,God og hurtigt service,5,God og hurtigt service,2019-12-20T20:49:22Z
957,Nemt at bestille og hurtig levering,5,Nemt at bestille og hurtig levering,2019-12-20T20:44:03Z
958,Fantastisk hurtig levering,5,Fantastisk hurtig levering. Og hurtig returnering.,2019-12-20T20:19:06Z
959,Fået de varer jeg har bestilt,5,"Fået de varer jeg har bestilt, og leveret som lovet så fuld tilfreds",2019-12-20T19:00:30Z
960,Hurtig og god service,5,"Hurtig og god service, levering som lovet 👍",2019-12-20T18:12:05Z
961,Fuld tilfredshed,5,Altid tilfreds med at handle hos Boots.com,2019-12-20T18:11:11Z
962,Fortsat min foretrukne website,5,Fortsat min foretrukne website - lækre produkter og brands,2019-12-20T17:10:33Z
963,Hurtig og godt,5,Hurtig og godt,2019-12-20T16:41:40Z
964,FANTASTISK!,5,"Hurtig levering, nemt at sende retur, altid god service!

5 stjerne er ikke nok !",2019-12-20T16:40:37Z
965,Boozt er bare super hurtige til at…,5,Boozt er bare super hurtige til at levere. Vil hel klart anbefale dem.,2019-12-20T15:59:57Z
966,Altid 5 stjernet oplevelse,5,"Handler ofte hos BOOZT og det er 5 stjernet hver gang.
Hurtig levering, gratis retur, stort sortiment - kan anbefales.",2019-12-20T15:04:10Z
